informal,formal
به نظر من گوشی بدی نیست الان پسرم این گوشی رو داره وبرای نوجوانان کاملا مناسب است اما متاسفانه خیلی از هم سن وسال های پسر من قصد داشتن گوشی هوشمند را دارند امید وارم این گوشی را موجود کنیدو پسر بچه هایی که هنوز گوشی هوشمند نگرفته اند این گوشی را بگیرن,به نظر من گوشی بدی نیست الان پسر من این گوشی را دارد و برای نوجوانان کاملاً مناسب است اما متاسفانه خیلی از هم‌ سن و سال‌های پسر من قصد داشتن گوشی هوشمند را دارند امیدوارم این گوشی را موجود کنید و پسر بچه‌هایی که هنوز گوشی هوشمند نگرفته‌اند این گوشی را بگیرند
سلام دوستان واسه این گوشی قرار بوده نسخه 7 اندروید منتشر بشه ولی برای گوشی من هنوز نیومده از همینجا خریدم در کل گوشی فوق العاده ای هست ولی اگر عادت دارید با گوشی عکس بگیرید شاید یخورده بخوره توی ذوقتون چون زیاد جالب نیست دوربینش بنظرم تو این رنج قیمت در حال حاضر بهترین انتخاب باشه,سلام دوستان برای این گوشی قرار بوده است نسخه 7 اندروید منتشر بشود ولی برای گوشی من هنوز نیامده است از همین جا هم خریده‌ام به صورت کلی گوشی فوق‌العاده‌ای است ولی اگر عادت دارید با گوشی عکس بگیرید شاید کمی توی ذوقتان بخورد چون زیاد جالب نیست دوربین آن بنظرم در این رنج قیمت در حال حاضر بهترین انتخاب باشد
من از خریدش واقعا راضیم خداییش اصلا کم نمی آره,من از خریدن آن واقعاً راضی هستم اصلاً کم نمی‌آورد
خدایی کم اوردم.,کم آورده‌‍ام
خداوکلی که خوبه,قسم میخورم که خوب است
ولمون کن خدایی,رهایمان کنید
اخیرا خرید کردم تو این مدت هیچ هنگی نداره سرعتش خوبه باطری فوق العاده ای داره که خیلی خوب ج میده پیشنهاد میکنمش,اخیراً خرید انجام داده‌ام. در این مدت هیچ مشکلی نداشته‌است. سرعت آن خوب است و باطری فوق‌العاده‌ای دارد که بسیار خوب عمل می‌کند. پیشنهاد می‌دهم این محصول را انتخاب کنید.
باسلام خدمت دوستان این تبلت رو حدود سه هفته است خریدم خیلی ازش راضی هستم آپدیت 7 1 1 اندروید هم براش اومده که بنظر من سرعتش رو تا حدودی کم کرده ولی در مجموع عالیه,با سلام خدمت دوستان این تبلت را حدود سه هفته پیش خریده‌ام خیلی از آن راضی هستم آپدیت 7 1 1 اندروید هم برای آن آمده است که به نظر من سرعت آن را تا حدودی کرده است اما در مجموع عالی است
اصلاً خوشم نمیومد,اصلا خوشم نمی‌آید
خیلی مسخره ست,خیلی مسخره است
مسخره بازی در نیار,مسخره بازی در نیاورید
تقریبا یکسالی داشتمش البته از اولین تجربه های مایکروسافت بیشتر از این نمی شه انتظار داشت شدیییییدا افسوس می خورم که زمانی که اینه خریدم با پولش می تونستم یک مک بوک ایر بی نظیر بگیرم که متاسفانه پولم رو هدر دادم شخصا توصیه می کنم که اگر دنبال لپ تاپ هایی به این شکل هستید و همچنین اگر می خواهید همینقدر هزینه که به سراغ لپ تاپ های اپل بروید من ترجیح دادم که اینو بفروشم و یک آیفون 6اس بهمراه یک لپ تاپ ویندوزی معمولی بگیرم تا زمانی که توانایی مالی خرید یک مک بوک رو پیدا کنم,تقریباً یک سال بود که آن را داشتم البته از اولین تجربه‌های مایکروسافت بیشتر از این نمی‌شود. انتظار داشت افسوس می‌خورم که زمانی که این را خریدم با پول آن می‌توانستم یک مک‌بوک ایر بی‌نظیر بگیرم متاسفانه پول‌ام را هدر دادم شخصاً توصیه می‌کنم که اگر دنبال لپ‌تاپ‌هایی به این شکل هستید و همچنین اگر می‌خواهید همینقدر هزینه به سراغ لپ‌تاپ‌های اپل بروید من ترجیح می‌دهم که این را بفروشم و یک آیفون ۶ اس به همراه یک لپ‌تاپ ویندوزی معمولی بگیرم تا زمانی که توانایی مالی برای خرید یک مک‌بوک را پیدا کنم
اینارو به من نگو,این موارد را به من نگویید
خب توضیحم بده,خب توضیح بدهید
وقتمو تلف کردین,وقت من را تلف کردید
کلا انتخاب خوبیه,در کل انتخاب خوبی است
فقط جنس کیبوردش کمی بده وگرنه لپتاپ بسیار خوبیه,فقط جنس کیبورد آن کمی بد است وگرنه لپ‌تاپ بسیار خوبی است
کارای بد نکنی,کارهای بد نکنید
باسلام من این لپتاپو برا کارای خیلی معمولی استفاده میکردم بعد دوماه از خریدم پاورش سوخت لپتاپ دیگه روشن نشد برای گارانتی سازگار پست کردم بعد از 17روز لپتاپم بدستم رسید بعد دریافت لپتاپ قسمت رم ریدرش کار نمیکنه و قسمتی تقریبا دوسه سانت از قاب دور صفحه ال سی دیش باز شدستش اینم بگم با کلی بسته بندی و عایق کاری توی کیف لپتاپو پست کردم.,با سلام من این لپتاپ را برای کارهای بسیار معمولی استفاده می‌کردم بعد دو ماه از خریدم پاور آن سوخت لپتاپ دیگر روشن نشد برای گارانتی سازگار پست کردم و بعد از ۱۷ روز لپتاپ من به دست من رسید بعد از دریافت لپتاپ قسمت رم ریدر آن کار نمی‌کند و قسمتی تقریباً دو سه سانتیمتر از قاب دور صفحه ال‌سی‌دیش باز شده است این را هم بگویم که با کلی بسته‌بندی و عایق‌کاری در کیف لپتاپ را پست کرده بودم
من دو ساله که دارمش یک کلام عالیه یه رم 120 گیگ هم روش گذاشتم,من دو سال است که این لپتاپ را دارم یک کلام عالی است یک رم 120 گیگ هم روی آن گذاشته‌ام
من نویسنده هستم و از کیفیت کیبرد صفحه نمایش و بسیار سبک خیلی راضی هستم ازش و قصد دارم یکی دیگه بخرم وقتی اوردن,من نویسنده هستم و از کیفیت کیبورد صفحه نمایش و وزن بسیار سبک آن بسیار راضی هستم بنابراین قصد دارم یکی دیگر بخرم وقتی آوردند
